comp(1),comp_corrected(1),raman_shift(1),vidro(5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(5-5),comp(3),comp_corrected(1),raman_shift(3),vidro(10-10),comp(4),comp_corrected(1),raman_shift(4),vidro(10-10)
306,317,-2974.312753,1.5818,356,367,-2247.956403,1.7273,406,417,-1758.593125,4.4253,456,467,-3980.815348,31.2055
306.5,317.5,-2924.634421,1.5602,356.5,367.5,-2210.884354,1.7409,406.5,417.5,-1729.873586,4.4632,456.5,467.5,-3952.095808,22.115
307,318,-2875.112309,1.5846,357,368,-2173.913043,1.7694,407,418,-1701.222754,4.5003,457,468,-3923.444976,15.4803
307.5,318.5,-2825.745683,1.5901,357.5,368.5,-2137.042062,1.7972,407.5,418.5,-1672.640382,4.5431,457.5,468.5,-3894.862605,10.7297
308,319,-2776.533811,1.6298,358,369,-2100.271003,1.8282,408,419,-1644.126226,4.5854,458,469,-3866.348449,7.6715
308.5,319.5,-2727.475967,1.6028,358.5,369.5,-2063.599459,1.8416,408.5,419.5,-1615.680042,4.6242,458.5,469.5,-3837.902265,5.7205
309,320,-2678.571429,1.6221,359,370,-2027.027027,1.8618,409,420,-1587.301587,4.6668,459,470,-3809.52381,4.6258
309.5,320.5,-2629.819478,1.6654,359.5,370.5,-1990.553306,1.8596,409.5,420.5,-1558.99062,4.7075,459.5,470.5,-3781.212842,4.0967
310,321,-2581.219404,1.825,360,371,-1954.177898,1.8466,410,421,-1530.746899,4.7408,460,471,-3752.969121,3.864
310.5,321.5,-2532.770495,1.7471,360.5,371.5,-1917.900404,1.8802,410.5,421.5,-1502.570186,4.7773,460.5,471.5,-3724.792408,3.8594
311,322,-2484.47205,1.7572,361,372,-1881.72043,1.8918,411,422,-1474.460242,4.8127,461,472,-3696.682464,4.0314
311.5,322.5,-2436.323367,1.7514,361.5,372.5,-1845.637584,1.8905,411.5,422.5,-1446.416831,4.8482,461.5,472.5,-3668.639053,4.2503
312,323,-2388.323751,1.7083,362,373,-1809.651475,1.916,412,423,-1418.439716,4.8877,462,473,-3640.661939,4.4582
312.5,323.5,-2340.47251,1.7118,362.5,373.5,-1773.761714,1.9198,412.5,423.5,-1390.528663,4.9273,462.5,473.5,-3612.750885,4.5847
313,324,-2292.768959,1.7159,363,374,-1737.967914,1.9423,413,424,-1362.683438,4.9635,463,474,-3584.90566,4.65
313.5,324.5,-2245.212415,1.7396,363.5,374.5,-1702.269693,1.9539,413.5,424.5,-1334.903808,5.0016,463.5,474.5,-3557.126031,4.6655
314,325,-2197.802198,1.802,364,375,-1666.666667,1.9673,414,425,-1307.189542,5.0427,464,475,-3529.411765,4.6504
314.5,325.5,-2150.537634,1.8312,364.5,375.5,-1631.158455,1.9636,414.5,425.5,-1279.54041,5.0794,464.5,475.5,-3501.762632,4.615
315,326,-2103.418054,1.9184,365,376,-1595.744681,1.9737,415,426,-1251.956182,5.1121,465,476,-3474.178404,4.5607
315.5,326.5,-2056.442792,1.8703,365.5,376.5,-1560.424967,1.9954,415.5,426.5,-1224.436629,5.1367,465.5,476.5,-3446.658851,4.5034
316,327,-2009.611184,1.9192,366,377,-1525.198939,1.9942,416,427,-1196.981525,5.1555,466,477,-3419.203747,4.4459
316.5,327.5,-1962.922574,1.8973,366.5,377.5,-1490.066225,1.9889,416.5,427.5,-1169.590643,5.1482,466.5,477.5,-3391.812865,4.3908
317,328,-1916.376307,1.9188,367,378,-1455.026455,1.9992,417,428,-1142.263759,5.1106,467,478,-3364.485981,4.3387
317.5,328.5,-1869.971733,1.9657,367.5,378.5,-1420.07926,2.0037,417.5,428.5,-1115.000648,5.0306,467.5,478.5,-3337.22287,4.2971
318,329,-1823.708207,1.9264,368,379,-1385.224274,2.0155,418,429,-1087.801088,4.9236,468,479,-3310.02331,4.2567
318.5,329.5,-1777.585086,1.9447,368.5,379.5,-1350.461133,2.023,418.5,429.5,-1060.664856,4.8016,468.5,479.5,-3282.887078,4.2195
319,330,-1731.601732,1.9545,369,380,-1315.789474,2.0357,419,430,-1033.591731,4.685,469,480,-3255.813953,4.1774
319.5,330.5,-1685.75751,1.882,369.5,380.5,-1281.208936,2.0444,419.5,430.5,-1006.581494,4.6139,469.5,480.5,-3228.803717,4.1378
320,331,-1640.051791,1.8639,370,381,-1246.71916,2.0403,420,431,-979.6339263,4.6223,470,481,-3201.856148,4.1035
320.5,331.5,-1594.483947,1.857,370.5,381.5,-1212.31979,2.0718,420.5,431.5,-952.7488091,4.8355,470.5,481.5,-3174.971031,4.0759
321,332,-1549.053356,1.8655,371,382,-1178.010471,2.0854,421,432,-925.9259259,5.4363,471,482,-3148.148148,4.051
321.5,332.5,-1503.759398,1.9026,371.5,382.5,-1143.79085,2.0979,421.5,432.5,-899.165061,6.6188,471.5,482.5,-3121.387283,4.0276
322,333,-1458.601459,1.9551,372,383,-1109.660574,2.1352,422,433,-872.4659995,8.59,472,483,-3094.688222,4.0055
322.5,333.5,-1413.578925,1.961,372.5,383.5,-1075.619296,2.1757,422.5,433.5,-845.8285275,11.7145,472.5,483.5,-3068.05075,3.9782
323,334,-1368.691189,1.9004,373,384,-1041.666667,2.2231,423,434,-819.2524322,16.2819,473,484,-3041.474654,3.9484
323.5,334.5,-1323.937647,1.8948,373.5,384.5,-1007.802341,2.2758,423.5,434.5,-792.7375016,19.7163,473.5,484.5,-3014.959724,3.9158
324,335,-1279.317697,1.9001,374,385,-974.025974,2.3354,424,435,-766.2835249,26.6992,474,485,-2988.505747,3.886
324.5,335.5,-1234.830743,1.9563,374.5,385.5,-940.3372244,2.3881,424.5,435.5,-739.8902921,37.8405,474.5,485.5,-2962.112514,3.8616
325,336,-1190.47619,1.9441,375,386,-906.7357513,2.4853,425,436,-713.5575943,54.3695,475,486,-2935.779817,3.8278
325.5,336.5,-1146.253449,1.909,375.5,386.5,-873.221216,2.6228,425.5,436.5,-687.2852234,76.3495,475.5,486.5,-2909.507446,3.7898
326,337,-1102.161933,2.0044,376,387,-839.7932817,2.7417,426,437,-661.0729723,104.656,476,487,-2883.295195,3.7563
326.5,337.5,-1058.201058,2.2277,376.5,387.5,-806.4516129,2.828,426.5,437.5,-634.9206349,139.7121,476.5,487.5,-2857.142857,3.7219
327,338,-1014.370245,2.344,377,388,-773.1958763,2.9501,427,438,-608.8280061,185.2711,477,488,-2831.050228,3.6894
327.5,338.5,-970.6689175,2.3965,377.5,388.5,-740.02574,3.235,427.5,438.5,-582.7948815,244.1605,477.5,488.5,-2805.017104,3.6611
328,339,-927.0965023,2.4539,378,389,-706.940874,3.8941,428,439,-556.821058,313.3233,478,489,-2779.04328,3.6251
328.5,339.5,-883.65243,2.7863,378.5,389.5,-673.9409499,5.505,428.5,439.5,-530.906333,389.7509,478.5,489.5,-2753.128555,3.5913
329,340,-840.3361345,3.5062,379,390,-641.025641,9.0213,429,440,-505.0505051,470.542,479,490,-2727.272727,3.5566
329.5,340.5,-797.1470527,4.5458,379.5,390.5,-608.1946223,10.8382,429.5,440.5,-479.2533737,552.9268,479.5,490.5,-2701.475596,3.524
330,341,-754.0846251,6.14,380,391,-575.4475703,22.2485,430,441,-453.5147392,634.2841,480,491,-2675.736961,3.4869
330.5,341.5,-711.1482953,10.7207,380.5,391.5,-542.7841635,45.7219,430.5,441.5,-427.8344029,712.237,480.5,491.5,-2650.056625,3.4493
331,342,-668.3375104,17.5884,381,392,-510.2040816,83.8645,431,442,-402.2121669,784.6034,481,492,-2624.434389,3.4131
331.5,342.5,-625.6517205,25.6721,381.5,392.5,-477.7070064,140.2253,431.5,442.5,-376.6478343,849.4073,481.5,492.5,-2598.870056,3.376
332,343,-583.090379,44.6117,382,393,-445.2926209,216.6238,432,443,-351.1412089,905.0041,482,493,-2573.363431,3.3359
332.5,343.5,-540.6529424,78.834,382.5,393.5,-412.9606099,314.0791,432.5,443.5,-325.6920957,950.143,482.5,493.5,-2547.914318,3.2956
333,344,-498.3388704,123.4076,383,394,-380.7106599,441.8251,433,444,-300.3003003,983.8433,483,494,-2522.522523,3.2594
333.5,344.5,-456.147626,176.7031,383.5,394.5,-348.5424588,581.6881,433.5,444.5,-274.9656293,999.999,483.5,494.5,-2497.187852,3.2246
334,345,-414.0786749,239.2554,384,395,-316.4556962,715.8162,434,445,-249.6878901,999.999,484,495,-2471.910112,3.1979
334.5,345.5,-372.1314865,327.8198,384.5,395.5,-284.4500632,828.7177,434.5,445.5,-224.4668911,999.999,484.5,495.5,-2446.689113,3.1651
335,346,-330.3055326,432.777,385,396,-252.5252525,920.3329,435,446,-199.3024415,999.999,485,496,-2421.524664,3.1319
335.5,346.5,-288.6002886,554.6864,385.5,396.5,-220.6809584,982.1375,435.5,446.5,-174.1943511,999.999,485.5,496.5,-2396.416573,3.1063
336,347,-247.0152326,676.657,386,397,-188.9168766,999.999,436,447,-149.142431,999.999,486,497,-2371.364653,3.0837
336.5,347.5,-205.5498458,786.9934,386.5,397.5,-157.2327044,999.999,436.5,447.5,-124.1464929,999.999,486.5,497.5,-2346.368715,3.0606
337,348,-164.2036125,884.096,387,398,-125.6281407,999.999,437,448,-99.20634921,999.999,487,498,-2321.428571,3.041
337.5,348.5,-122.9760197,958.9953,387.5,398.5,-94.10288582,999.999,437.5,448.5,-74.32181345,999.999,487.5,498.5,-2296.544036,3.0294
338,349,-81.86655751,999.999,388,399,-62.6566416,999.999,438,449,-49.49269983,999.999,488,499,-2271.714922,3.017
338.5,349.5,-40.87471899,999.999,388.5,399.5,-31.28911139,999.999,438.5,449.5,-24.71882338,999.999,488.5,499.5,-2246.941046,3.0046
339,350,0,999.999,389,400,0,999.999,439,450,0,999.999,489,500,-2222.222222,2.989
339.5,350.5,40.75810067,999.999,389.5,400.5,31.21098627,999.999,439.5,450.5,24.66395363,999.999,489.5,500.5,-2197.558269,2.9698
340,351,81.4000814,999.999,390,401,62.34413965,981.5525,440,451,49.27322,999.999,490,501,-2172.949002,2.9531
340.5,351.5,121.9264377,983.7282,390.5,401.5,93.39975093,920.1186,440.5,451.5,73.8279808,999.999,490.5,501.5,-2148.394241,2.938
341,352,162.3376623,944.4404,391,402,124.3781095,828.3879,441,452,98.32841691,999.999,491,502,-2123.893805,2.9199
341.5,352.5,202.6342452,879.713,391.5,402.5,155.2795031,711.4037,441.5,452.5,122.7747084,999.999,491.5,502.5,-2099.447514,2.9026
342,353,242.8166734,784.6124,392,403,186.1042184,575.4509,442,453,147.1670346,999.999,492,503,-2075.055188,2.8837
342.5,353.5,282.8854314,671.0163,392.5,403.5,216.8525403,442.3885,442.5,453.5,171.5055739,999.999,492.5,503.5,-2050.716648,2.8666
343,354,322.8410008,549.4053,393,404,247.5247525,325.6892,443,454,195.7905042,999.999,493,504,-2026.431718,2.8484
343.5,354.5,362.6838606,432.3752,393.5,404.5,278.1211372,239.9616,443.5,454.5,220.0220022,999.999,493.5,504.5,-2002.20022,2.8309
344,355,402.4144869,330.1246,394,405,308.6419753,173.4745,444,455,244.2002442,999.999,494,505,-1978.021978,2.8134
