comprimento de onda (nm),(1) 2.5-2.5,(1) 2.5-5,(1) 2.5-10,(2) 2.5-10,(2) 5-10,(2) 10-10,(2) 15-10,(3) 10-2.5,(3) 10-5,(3) 10-10,(3) 10-15,(3) 10-20,(4) 5-2.5,(4) 5-5,(4) 5-10,(5) 15-2.5,(5) 15-5,(5) 15-10
306.5,0,0,1,1.0382,1.4916,1.5167,1.5126,0.1667,0.4253,1.5167,3.4091,5.385,0,0.2694,1.4675,0.071,0.3305,1.5126
307,0,0,1,0.8394,1.4775,1.5196,1.5167,0.1736,0.4024,1.5196,3.4229,5.4476,0,0.2575,1.4888,0.0832,0.3414,1.5167
307.5,0,0,1,0.9208,1.5138,1.5328,1.5131,0.1725,0.4238,1.5328,3.4199,5.5314,0,0.2488,1.5129,0.0858,0.3379,1.5131
308,0,0,1,0.918,1.5623,1.5292,1.5358,0.1568,0.3993,1.5292,3.4527,5.6236,0,0.2802,1.5519,0.0847,0.3354,1.5358
308.5,0,0,1,0.8979,1.6172,1.5297,1.5442,0.1615,0.3939,1.5297,3.4622,5.6731,0,0.3175,1.6141,0.0863,0.3488,1.5442
309,0,0,1,1.0028,1.6215,1.5239,1.5585,0.1376,0.3841,1.5239,3.4644,5.4845,0,0.3735,1.6247,0.0864,0.3586,1.5585
309.5,0,0,1,0.9024,1.5915,1.5354,1.5626,0.1351,0.4047,1.5354,3.4587,4.8801,0,0.3817,1.6124,0.0853,0.3611,1.5626
310,0,1,1,1.0246,1.5984,1.5634,1.5732,0.1231,0.4149,1.5634,3.438,3.134,0,0.4123,1.6761,0.084,0.3713,1.5732
310.5,0,0,1,1.0385,1.5828,1.5884,1.5798,0.1421,0.4215,1.5884,3.4254,2.8802,0,0.3862,1.7143,0.0842,0.3719,1.5798
311,0,0,2,1.1554,1.6001,1.6015,1.5914,0.1367,0.4241,1.6015,3.3908,2.3396,0,0.3811,1.6984,0.0847,0.3688,1.5914
311.5,0,0,2,1.1544,1.5921,1.6176,1.6023,0.1614,0.4174,1.6176,3.374,1.9385,0,0.4057,1.7115,0.085,0.3621,1.6023
312,0,0,2,1.2844,1.6088,1.6493,1.5982,0.1663,0.4214,1.6493,3.3168,1.9046,0,0.4323,1.7236,0.0839,0.3634,1.5982
312.5,0,0,2,1.215,1.5949,1.6633,1.6048,0.1629,0.4326,1.6633,3.2597,1.7226,0,0.4439,1.6998,0.0888,0.3586,1.6048
313,0,0,2,1.2822,1.6263,1.6756,1.6029,0.15,0.4121,1.6756,3.1469,1.2656,0,0.4582,1.7386,0.1036,0.3639,1.6029
313.5,0,0,2,1.4127,1.6374,1.6923,1.6036,0.1506,0.4106,1.6923,2.931,1.0502,0,0.456,1.7298,0.1046,0.3696,1.6036
314,0,0,2,1.5812,1.6461,1.7057,1.6099,0.163,0.4086,1.7057,2.7776,1.8355,0,0.4493,1.7617,0.0927,0.3728,1.6099
314.5,0,0,2,1.6396,1.6373,1.7138,1.6297,0.1555,0.4327,1.7138,2.7362,3.2922,0,0.4295,1.8252,0.0816,0.383,1.6297
315,0,0,2,1.7421,1.6518,1.7348,1.6334,0.1504,0.4481,1.7348,2.5994,4.62,0,0.3906,1.8225,0.0851,0.3992,1.6334
315.5,0,0,2,1.8777,1.7097,1.7452,1.6365,0.1461,0.4615,1.7452,2.2506,6.4894,0,0.3431,1.8458,0.0857,0.4026,1.6365
316,0,0,2,2.0483,1.7318,1.7642,1.6134,0.1652,0.4817,1.7642,2.0082,8.5358,0,0.3633,1.8604,0.0849,0.4029,1.6134
