comp(1),comp_corrected(1),raman_shift(1),vidro(5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(5-5),comp(3),comp_corrected(1),raman_shift(3),vidro(10-10),comp(4),comp_corrected(1),raman_shift(4),vidro(10-10)
432,443,5998.06514,2.0877,482,493,4716.024341,0.9942,532,543,3806.015961,2.2611,582,593,3136.593592,1.7202
432.5,443.5,6023.514254,2.0962,482.5,493.5,4736.575481,0.9813,532.5,543.5,3822.958193,2.2284,582.5,593.5,3150.800337,1.727
433,444,6048.906049,2.0666,483,494,4757.08502,0.9449,533,544,3839.869281,2.194,583,594,3164.983165,1.7354
433.5,444.5,6074.24072,2.1635,483.5,494.5,4777.553084,0.9215,533.5,544.5,3856.749311,2.1648,583.5,594.5,3179.142136,1.7399
434,445,6099.518459,2.1253,484,495,4797.979798,0.9243,534,545,3873.598369,2.1363,584,595,3193.277311,1.7459
434.5,445.5,6124.739458,2.1041,484.5,495.5,4818.365288,0.9488,534.5,545.5,3890.416539,2.1093,584.5,595.5,3207.388749,1.7516
435,446,6149.903908,2.1114,485,496,4838.709677,0.9388,535,546,3907.203907,2.0833,585,596,3221.47651,1.7581
435.5,446.5,6175.011998,2.013,485.5,496.5,4859.013092,0.9578,535.5,546.5,3923.960557,2.0606,585.5,596.5,3235.540654,1.7607
436,447,6200.063918,1.9971,486,497,4879.275654,0.9808,536,547,3940.686573,2.0413,586,597,3249.58124,1.7692
436.5,447.5,6225.059856,1.9311,486.5,497.5,4899.497487,0.9932,536.5,547.5,3957.38204,2.0236,586.5,597.5,3263.598326,1.7833
437,448,6250,1.9289,487,498,4919.678715,0.9919,537,548,3974.04704,2.0091,587,598,3277.591973,1.7972
437.5,448.5,6274.884536,1.8548,487.5,498.5,4939.819458,0.9653,537.5,548.5,3990.681657,1.9959,587.5,598.5,3291.562239,1.8057
438,449,6299.713649,1.8599,488,499,4959.91984,0.9478,538,549,4007.285974,1.986,588,599,3305.509182,1.8153
