comp,int (ex 250 vidro),int (ex 250 plast),int (ex 300 vidro),int (ex 300 plast)
444,11.7844,3.5808,11.1478,8.5276
444.5,11.7123,3.5293,11.0367,8.4901
445,11.7708,3.431,10.9623,8.4226
445.5,11.6614,3.4364,10.854,8.393
446,11.6675,3.4041,10.7449,8.342
446.5,11.7243,3.3748,10.6249,8.2933
447,11.6853,3.3833,10.6087,8.2124
447.5,11.6864,3.3298,10.5097,8.2287
448,11.7628,3.3861,10.4009,8.2115
448.5,11.7653,3.3955,10.3044,8.1955
449,11.7697,3.3863,10.2067,8.2125
449.5,11.7122,3.37,10.1562,8.2122
450,11.7527,3.3134,10.0521,8.1902
450.5,11.6645,3.2794,9.9863,8.1893
451,11.6321,3.2877,9.9526,8.2157
451.5,11.5906,3.2362,9.9138,8.2178
452,11.532,3.2019,9.8206,8.2289
452.5,11.4316,3.1629,9.7721,8.2077
453,11.3801,3.2005,9.736,8.1837
453.5,11.3137,3.1696,9.7017,8.1809
454,11.1944,3.2142,9.6409,8.1883
454.5,11.0964,3.1883,9.5651,8.1872
455,11.1652,3.149,9.492,8.1064
455.5,11.0635,3.1635,9.4298,8.0672
456,11.0758,3.1418,9.3491,8.0221
456.5,11.0439,3.1323,9.3138,7.9723
457,10.9982,3.1604,9.3217,7.9583
457.5,10.9395,3.137,9.2328,7.9821
458,10.8946,3.0337,9.136,7.944
458.5,10.8411,2.9844,9.0386,7.9365
459,10.8389,2.9732,8.9695,7.9192
459.5,10.8551,2.9638,8.961,7.9153
460,10.8768,2.9683,8.8685,7.9318
460.5,10.7729,2.9539,8.8379,7.9371
461,10.7778,2.951,8.7653,7.9461
461.5,10.8497,2.9595,8.6543,7.9343
462,10.8141,2.9776,8.5516,7.9526
462.5,10.7975,3.0064,8.4767,7.9702
463,10.8144,3.0426,8.3575,7.934
463.5,10.756,3.0334,8.272,7.923
464,10.6872,3.024,8.1981,7.8778
464.5,10.6397,2.98,8.1034,7.8463
465,10.7245,2.9668,7.9853,7.724
465.5,10.6833,2.9729,7.9195,7.676
466,10.624,2.9738,7.9092,7.621
466.5,10.4916,2.9819,7.8897,7.5747
467,10.4051,3.0086,7.8416,7.5627
467.5,10.3359,2.9401,7.766,7.5151
468,10.2885,2.8917,7.7165,7.444
468.5,10.2513,2.9217,7.6852,7.4224
469,10.1622,2.9747,7.6678,7.4468
469.5,10.1609,2.9929,7.6027,7.4882
470,10.0313,3.0199,7.5077,7.4817
470.5,9.9513,3.0579,7.4715,7.5087
471,9.9749,3.1077,7.3975,7.5483
471.5,9.9557,3.155,7.3103,7.5704
472,9.8279,3.1404,7.2492,7.6105
472.5,9.7973,3.2319,7.1533,7.6055
473,9.7655,3.284,7.0849,7.6056
473.5,9.6422,3.2765,7.0179,7.6326
474,9.571,3.2803,6.9615,7.6185
474.5,9.6316,3.3525,6.8989,7.598
475,9.616,3.4043,6.7952,7.5792
475.5,9.5433,3.5154,6.7381,7.5872
476,9.5287,3.5618,6.7058,7.5805
476.5,9.5159,3.6092,6.6321,7.5777
477,9.5512,3.6524,6.5443,7.5633
477.5,9.688,3.686,6.5186,7.5388
478,9.7574,3.7438,6.4702,7.5112
478.5,9.8201,3.8104,6.421,7.524
479,9.9001,3.9137,6.3534,7.544
479.5,10.028,3.9999,6.2575,7.5352
480,10.1194,4.0971,6.2106,7.4909
480.5,10.1703,4.226,6.1472,7.4688
481,10.2333,4.2956,6.0794,7.4182
481.5,10.2496,4.3419,6.0097,7.3757
482,10.3432,4.337,5.9716,7.3105
482.5,10.3759,4.4444,5.9156,7.2575
483,10.3632,4.4659,5.884,7.2611
483.5,10.3343,4.4995,5.8025,7.2239
484,10.3463,4.5501,5.7477,7.1562
484.5,10.41,4.6556,5.6295,7.1011
485,10.2853,4.6427,5.5391,7.0869
485.5,10.3243,4.6723,5.4718,7.0643
486,10.3849,4.6135,5.3814,7.0487
486.5,10.3938,4.5809,5.3021,7.0413
487,10.408,4.5839,5.268,7.011
487.5,10.4345,4.515,5.2454,7.0297
488,10.3409,4.4448,5.1795,7.0418
488.5,10.292,4.411,5.1472,7.0742
489,10.2954,4.3722,5.1218,7.0866
489.5,10.2352,4.3211,5.1144,7.0838
490,10.1819,4.2537,5.1213,7.0756
490.5,10.0582,4.1936,5.0898,7.0689
491,10.002,4.0423,5.1189,7.0348
491.5,9.9825,3.9411,5.1487,6.9948
492,9.9186,3.8011,5.1601,6.914
492.5,9.8508,3.7461,5.1926,6.8849
