comp(1),comp_corrected(1),raman_shift(1),vidro(ex 350 5-5),plastico(ex 350 5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(ex 400 5-5),plastico(ex 400 5-5),comp(3),comp_corrected(3),raman_shift(3),vidro(ex 450 10-10),plastico(ex 450 10-10),comp(4),comp_corrected(4),raman_shift(4),vidro(ex 500 10-10),plastico(ex 500 10-10)
387.5,398.5,3477.325686,0.3505127195,0.8708930033,437.5,448.5,2703.455964,0.6110089505,0.642344198,487.5,498.5,2162.041681,0.7587155908,2.971915908,537.5,548.5,1768.459435,142.6120007,1015.412365
388,399,3508.77193,0.3507135032,0.8715832871,438,449,2728.285078,0.612227784,0.642537955,488,499,2182.142062,0.7589716688,2.978195779,538,549,1785.063752,143.5354366,1022.048159
388.5,399.5,3540.13946,0.3509142868,0.872273571,438.5,449.5,2753.058954,0.6134466175,0.642731712,488.5,499.5,2202.202202,0.7592277468,2.98447565,538.5,549.5,1801.637853,144.4588725,1028.683953
389,400,3571.428571,0.3511150705,0.8729638548,439,450,2777.777778,0.6146654509,0.6429254689,489,500,2222.222222,0.7594838248,2.990755521,539,550,1818.181818,145.3823084,1035.319747
389.5,400.5,3602.639558,0.3513158542,0.8736541386,439.5,450.5,2802.441731,0.6158842844,0.6431192259,489.5,500.5,2242.202242,0.7597399028,2.997035392,539.5,550.5,1834.695731,146.3057443,1041.955541
390,401,3633.772711,0.3515166379,0.8743444224,440,451,2827.050998,0.6171031179,0.6433129829,490,501,2262.142382,0.7599959808,3.003315263,540,551,1851.179673,147.2291802,1048.591335
390.5,401.5,3664.828322,0.3517174215,0.8750347063,440.5,451.5,2851.605759,0.6183219514,0.6435067399,490.5,501.5,2282.042761,0.7602520588,3.009595134,540.5,551.5,1867.633726,148.1526161,1055.227129
391,402,3695.806681,0.3519182052,0.8757249901,441,452,2876.106195,0.6195407849,0.6437004968,491,502,2301.903497,0.7605081368,3.015875005,541,552,1884.057971,149.076052,1061.862923
391.5,402.5,3726.708075,0.3521189889,0.8764152739,441.5,452.5,2900.552486,0.6207596184,0.6438942538,491.5,502.5,2321.72471,0.7607642148,3.022154875,541.5,552.5,1900.452489,149.9994879,1068.498717
392,403,3757.53279,0.3523197726,0.8771055578,442,453,2924.944812,0.6219784518,0.6440880108,492,503,2341.506516,0.7610202928,3.028434746,542,553,1916.81736,150.9229238,1075.134511
392.5,403.5,3788.281112,0.3525205563,0.8777958416,442.5,453.5,2949.283352,0.6231972853,0.6442817678,492.5,503.5,2361.249035,0.7612763708,3.034714617,542.5,553.5,1933.152665,151.8463597,1081.770305
393,404,3818.953324,0.3527213399,0.8784861254,443,454,2973.568282,0.6244161188,0.6444755248,493,504,2380.952381,0.7615324488,3.040994488,543,554,1949.458484,152.7697956,1088.406099
393.5,404.5,3849.549709,0.3529221236,0.8791764092,443.5,454.5,2997.79978,0.6256349523,0.6446692817,493.5,504.5,2400.616672,0.7617885269,3.047274359,543.5,554.5,1965.734896,153.6932315,1095.041893
394,405,3880.070547,0.3531229073,0.8798666931,444,455,3021.978022,0.6268537858,0.6448630387,494,505,2420.242024,0.7620446049,3.05355423,544,555,1981.981982,154.6166674,1101.677687
394.5,405.5,3910.516118,0.353323691,0.8805569769,444.5,455.5,3046.103183,0.6280726193,0.6450567957,494.5,505.5,2439.828553,0.7623006829,3.059834101,544.5,555.5,1998.19982,155.5401033,1108.313481
395,406,3940.8867,0.3535244746,0.8812472607,445,456,3070.175439,0.6292914527,0.6452505527,495,506,2459.376372,0.7625567609,3.066113972,545,556,2014.388489,156.4635392,1114.949275
395.5,406.5,3971.182569,0.3537252583,0.8819375446,445.5,456.5,3094.194962,0.6305102862,0.6454443096,495.5,506.5,2478.885598,0.7628128389,3.072393843,545.5,556.5,2030.548068,157.3869751,1121.585069
396,407,4001.404001,0.353926042,0.8826278284,446,457,3118.161926,0.6317291197,0.6456380666,496,507,2498.356345,0.7630689169,3.078673714,546,557,2046.678636,158.310411,1128.220863
396.5,407.5,4031.551271,0.3541268257,0.8833181122,446.5,457.5,3142.076503,0.6329479532,0.6458318236,496.5,507.5,2517.788725,0.7633249949,3.084953585,546.5,557.5,2062.780269,159.2338468,1134.856657
397,408,4061.62465,0.3543276094,0.884008396,447,458,3165.938865,0.6341667867,0.6460255806,497,508,2537.182852,0.7635810729,3.091233456,547,558,2078.853047,160.1572827,1141.492451
397.5,408.5,4091.62441,0.354528393,0.8846986799,447.5,458.5,3189.749182,0.6353856202,0.6462193375,497.5,508.5,2556.53884,0.7638371509,3.097513327,547.5,558.5,2094.897046,161.0807186,1148.128245
398,409,4121.550821,0.3547291767,0.8853889637,448,459,3213.507625,0.6366044536,0.6464130945,498,509,2575.8568,0.7640932289,3.103793198,548,559,2110.912343,162.0041545,1154.764039
398.5,409.5,4151.404151,0.3549299604,0.8860792475,448.5,459.5,3237.214363,0.6378232871,0.6466068515,498.5,509.5,2595.136844,0.7643493069,3.110073069,548.5,559.5,2126.899017,162.9275904,1161.399833
399,410,4181.184669,0.3551307441,0.8867695314,449,460,3260.869565,0.6390421206,0.6468006085,499,510,2614.379085,0.7646053849,3.11635294,549,560,2142.857143,163.8510263,1168.035627
399.5,410.5,4210.89264,0.3553315278,0.8874598152,449.5,460.5,3284.473398,0.6402609541,0.6469943654,499.5,510.5,2633.583633,0.7648614629,3.122632811,549.5,560.5,2158.786798,164.7744622,1174.671421
400,411,4240.528328,0.3555323114,0.888150099,450,461,3308.02603,0.6414797876,0.6471881224,500,511,2652.750598,0.765117541,3.128912682,550,561,2174.688057,165.6978981,1181.307215
400.5,411.5,4270.091998,0.3557330951,0.8888403828,450.5,461.5,3331.527627,0.6426986211,0.6473818794,500.5,511.5,2671.880091,0.765373619,3.135192553,550.5,561.5,2190.560997,166.621334,1187.943009
401,412,4299.583911,0.3559338788,0.8895306667,451,462,3354.978355,0.6439174545,0.6475756364,501,512,2690.972222,0.765629697,3.141472424,551,562,2206.405694,167.5447699,1194.578803
401.5,412.5,4329.004329,0.3561346625,0.8902209505,451.5,462.5,3378.378378,0.645136288,0.6477693933,501.5,512.5,2710.0271,0.765885775,3.147752295,551.5,562.5,2222.222222,168.4682058,1201.214597
402,413,4358.353511,0.3563354461,0.8909112343,452,463,3401.727862,0.6463551215,0.6479631503,502,513,2729.044834,0.766141853,3.154032166,552,563,2238.010657,169.3916417,1207.850391
402.5,413.5,4387.631715,0.3565362298,0.8916015182,452.5,463.5,3425.026969,0.647573955,0.6481569073,502.5,513.5,2748.025533,0.766397931,3.160312037,552.5,563.5,2253.771074,170.3150776,1214.486185
403,414,4416.839199,0.3567370135,0.892291802,453,464,3448.275862,0.6487927885,0.6483506643,503,514,2766.969304,0.766654009,3.166591908,553,564,2269.503546,171.2385135,1221.121979
403.5,414.5,4445.976219,0.3569377972,0.8929820858,453.5,464.5,3471.474704,0.650011622,0.6485444212,503.5,514.5,2785.876255,0.766910087,3.172871779,553.5,564.5,2285.208149,172.1619494,1227.757773
